ICT,ORD,588
RAP,ATL,1230
RAP,DEN,300
RAP,DFW,835
RAP,IAH,1058
RAP,JMS,291
RAP,MSP,489
RAP,ORD,779
RAP,SLC,508
SAF,DEN,303
SAF,DFW,551
SAF,LAX,710
FNT,ATL,645
FNT,BWI,452
FNT,LAS,1733
FNT,MCO,1011
FNT,MSP,491
FNT,ORD,223
FNT,RSW,1138
FNT,TPA,1036
HNL,ANC,2777
HNL,ATL,4502
HNL,BLI,2715
HNL,DEN,3365
HNL,DFW,3784
HNL,EWR,4962
HNL,GUM,3801
HNL,IAD,4817
HNL,IAH,3904
HNL,ITO,216
HNL,JFK,4983
HNL,KOA,163
HNL,LAS,2762
HNL,LAX,2556
HNL,LIH,102
HNL,MSP,3972
HNL,OAK,2409
HNL,OGG,100
HNL,ORD,4243
HNL,PDX,2603
HNL,PHX,2917
HNL,PPG,2599
HNL,SAN,2614
HNL,SEA,2677
HNL,SFO,2398
HNL,SJC,2417
HNL,SLC,2994
HNL,SMF,2462
ITO,HNL,216
ITO,LAX,2449
ITO,OGG,121
ISN,DEN,576
ISN,IAH,1330
ISN,MSP,546
AUS,ATL,813
AUS,BNA,756
AUS,BOS,1698
AUS,BWI,1342
AUS,CLT,1032
AUS,DAL,189
AUS,DCA,1315
AUS,DEN,775
AUS,DFW,190
AUS,DTW,1149
AUS,ELP,528
AUS,EWR,1504
AUS,FLL,1105
AUS,HOU,148
AUS,HRL,273
AUS,IAD,1297
AUS,IAH,140
AUS,JFK,1521
AUS,LAS,1090
AUS,LAX,1242
AUS,LBB,341
AUS,LGB,1226
AUS,MCO,994
AUS,MDW,972
AUS,MEM,559
AUS,MIA,1103
AUS,MSP,1042
AUS,MSY,444
AUS,OAK,1497
AUS,ORD,977.748502994012
AUS,PDX,1715
AUS,PHL,1430
AUS,PHX,872
AUS,SAN,1164
AUS,SEA,1770
AUS,SFO,1504
AUS,SJC,1476
AUS,SLC,1086
AUS,SNA,1209
AUS,STL,721
AUS,TPA,928
PUB,DEN,109
LEX,ATL,304
LEX,DCA,414
LEX,DFW,785
